volume_demand;volume_production;spot_price;year;month;week;day;hour;dayofweek;weekend;working_hours;night;morning;afternoon;evening;delta;volume_production_rolling;volume_demand_rolling;target
4043.0;7818.0;16.39;2015;12;53;31;23;3;0;0;0;0;0;1;3775.0;;;16.47
4010.0;7694.0;16.04;2016;1;53;1;0;4;0;0;1;0;0;0;3684.0;;;15.89
3930.0;7437.0;15.74;2016;1;53;1;1;4;0;0;1;0;0;0;3507.0;;;15.03
3839.0;7120.0;15.57;2016;1;53;1;2;4;0;0;1;0;0;0;3281.0;;;13.19
3833.0;7041.0;15.47;2016;1;53;1;3;4;0;0;1;0;0;0;3208.0;;;12.69
3944.0;7246.0;15.75;2016;1;53;1;4;4;0;0;1;0;0;0;3302.0;;;12.94
3940.0;6860.0;15.36;2016;1;53;1;5;4;0;0;1;0;0;0;2920.0;;;13.59
4011.0;6990.0;15.37;2016;1;53;1;6;4;0;0;1;0;0;0;2979.0;;;14.25
4126.0;6994.0;15.19;2016;1;53;1;7;4;0;0;0;1;0;0;2868.0;;;15.7
4197.0;7551.0;15.39;2016;1;53;1;8;4;0;1;0;1;0;0;3354.0;;;15.72
4368.0;8109.0;15.78;2016;1;53;1;9;4;0;1;0;1;0;0;3741.0;;;15.97
4448.0;8528.0;16.15;2016;1;53;1;10;4;0;1;0;1;0;0;4080.0;;;15.98
4529.0;8797.0;16.5;2016;1;53;1;11;4;0;1;0;1;0;0;4268.0;;;15.87
4527.0;8990.0;16.72;2016;1;53;1;12;4;0;1;0;0;1;0;4463.0;;;15.98
4629.0;9210.0;17.17;2016;1;53;1;13;4;0;1;0;0;1;0;4581.0;;;15.99
4660.0;9389.0;18.0;2016;1;53;1;14;4;0;1;0;0;1;0;4729.0;;;15.99
4818.0;9506.0;18.53;2016;1;53;1;15;4;0;1;0;0;1;0;4688.0;;;16.22
4838.0;9392.0;19.11;2016;1;53;1;16;4;0;1;0;0;1;0;4554.0;;;16.51
4840.0;9333.0;18.68;2016;1;53;1;17;4;0;1;0;0;0;1;4493.0;;;16.37
4706.0;9296.0;17.93;2016;1;53;1;18;4;0;0;0;0;0;1;4590.0;;;16.08
4618.0;9109.0;17.69;2016;1;53;1;19;4;0;0;0;0;0;1;4491.0;;;16.15
4508.0;8960.0;17.33;2016;1;53;1;20;4;0;0;0;0;0;1;4452.0;;;15.83
4313.0;8528.0;16.75;2016;1;53;1;21;4;0;0;0;0;0;1;4215.0;;;15.82
4193.0;8241.0;16.25;2016;1;53;1;22;4;0;0;0;0;0;1;4048.0;;;15.31
4118.0;8121.0;16.47;2016;1;53;1;23;4;0;0;0;0;0;1;4003.0;;;15.99
4004.0;7525.0;15.89;2016;1;53;2;0;5;1;0;1;0;0;0;3521.0;;;15.87
3940.0;6347.0;15.03;2016;1;53;2;1;5;1;0;1;0;0;0;2407.0;;;15.76
3900.0;5074.0;13.19;2016;1;53;2;2;5;1;0;1;0;0;0;1174.0;;;15.59
3944.0;4564.0;12.69;2016;1;53;2;3;5;1;0;1;0;0;0;620.0;;;14.43
3997.0;4713.0;12.94;2016;1;53;2;4;5;1;0;1;0;0;0;716.0;;;14.96
4096.0;5201.0;13.59;2016;1;53;2;5;5;1;0;1;0;0;0;1105.0;;;14.98
4226.0;6021.0;14.25;2016;1;53;2;6;5;1;0;1;0;0;0;1795.0;;;15.53
4385.0;7215.0;15.7;2016;1;53;2;7;5;1;0;0;1;0;0;2830.0;;;15.79
4581.0;7627.0;15.72;2016;1;53;2;8;5;1;1;0;1;0;0;3046.0;;;16.17
4761.0;8092.0;15.97;2016;1;53;2;9;5;1;1;0;1;0;0;3331.0;;;16.44
4913.0;8271.0;15.98;2016;1;53;2;10;5;1;1;0;1;0;0;3358.0;;;16.49
4980.0;8133.0;15.87;2016;1;53;2;11;5;1;1;0;1;0;0;3153.0;;;16.37
4908.0;8296.0;15.98;2016;1;53;2;12;5;1;1;0;0;1;0;3388.0;;;16.35
4968.0;8328.0;15.99;2016;1;53;2;13;5;1;1;0;0;1;0;3360.0;;;16.35
4995.0;8325.0;15.99;2016;1;53;2;14;5;1;1;0;0;1;0;3330.0;;;16.3
5138.0;8561.0;16.22;2016;1;53;2;15;5;1;1;0;0;1;0;3423.0;;;16.45
5240.0;8888.0;16.51;2016;1;53;2;16;5;1;1;0;0;1;0;3648.0;;;17.22
5248.0;8821.0;16.37;2016;1;53;2;17;5;1;1;0;0;0;1;3573.0;;;16.83
5193.0;8631.0;16.08;2016;1;53;2;18;5;1;0;0;0;0;1;3438.0;;;16.48
5054.0;8394.0;16.15;2016;1;53;2;19;5;1;0;0;0;0;1;3340.0;;;16.43
4909.0;8026.0;15.83;2016;1;53;2;20;5;1;0;0;0;0;1;3117.0;;;16.43
4790.0;7864.0;15.82;2016;1;53;2;21;5;1;0;0;0;0;1;3074.0;;;16.26
4714.0;7185.0;15.31;2016;1;53;2;22;5;1;0;0;0;0;1;2471.0;376362.0;214870.0;15.74
4611.0;7222.0;15.99;2016;1;53;2;23;5;1;0;0;0;0;1;2611.0;375766.0;215438.0;15.86
4576.0;7195.0;15.87;2016;1;53;3;0;6;1;0;1;0;0;0;2619.0;375267.0;216004.0;15.59
4533.0;7138.0;15.76;2016;1;53;3;1;6;1;0;1;0;0;0;2605.0;374968.0;216607.0;15.43
4481.0;6889.0;15.59;2016;1;53;3;2;6;1;0;1;0;0;0;2408.0;374737.0;217249.0;15.56
4434.0;6433.0;14.43;2016;1;53;3;3;6;1;0;1;0;0;0;1999.0;374129.0;217850.0;15.86
4469.0;6633.0;14.96;2016;1;53;3;4;6;1;0;1;0;0;0;2164.0;373516.0;218375.0;15.9
4525.0;6656.0;14.98;2016;1;53;3;5;6;1;0;1;0;0;0;2131.0;373312.0;218960.0;16.4
4597.0;6864.0;15.53;2016;1;53;3;6;6;1;0;1;0;0;0;2267.0;373186.0;219546.0;19.34
4755.0;7368.0;15.79;2016;1;53;3;7;6;1;0;0;1;0;0;2613.0;373560.0;220175.0;20.49
4922.0;7988.0;16.17;2016;1;53;3;8;6;1;1;0;1;0;0;3066.0;373997.0;220900.0;20.49
5065.0;8574.0;16.44;2016;1;53;3;9;6;1;1;0;1;0;0;3509.0;374462.0;221597.0;20.47
5107.0;8500.0;16.49;2016;1;53;3;10;6;1;1;0;1;0;0;3393.0;374434.0;222256.0;20.14
5099.0;8214.0;16.37;2016;1;53;3;11;6;1;1;0;1;0;0;3115.0;373851.0;222826.0;19.85
5134.0;8290.0;16.35;2016;1;53;3;12;6;1;1;0;0;1;0;3156.0;373151.0;223433.0;19.83
5113.0;8361.0;16.35;2016;1;53;3;13;6;1;1;0;0;1;0;3248.0;372302.0;223917.0;19.88
5198.0;8596.0;16.3;2016;1;53;3;14;6;1;1;0;0;1;0;3398.0;371509.0;224455.0;20.09
5280.0;8834.0;16.45;2016;1;53;3;15;6;1;1;0;0;1;0;3554.0;370837.0;224917.0;20.79
5378.0;9121.0;17.22;2016;1;53;3;16;6;1;1;0;0;1;0;3743.0;370566.0;225457.0;21.07
5313.0;8918.0;16.83;2016;1;53;3;17;6;1;1;0;0;0;1;3605.0;370151.0;225930.0;20.54
5236.0;8589.0;16.48;2016;1;53;3;18;6;1;0;0;0;0;1;3353.0;369444.0;226460.0;19.77
5159.0;8491.0;16.43;2016;1;53;3;19;6;1;0;0;0;0;1;3332.0;368826.0;227001.0;19.05
4980.0;8211.0;16.43;2016;1;53;3;20;6;1;0;0;0;0;1;3231.0;368077.0;227473.0;18.5
4918.0;8038.0;16.26;2016;1;53;3;21;6;1;0;0;0;0;1;3120.0;367587.0;228078.0;17.71
